1976 8 16 229 16 11 7 6.260000 124.020000 33.000000 7.961618
1976 8 17 230 1 11 10 10.060000 125.870000 34.000000 6.021403
1976 8 17 230 4 19 27 7.250000 122.940000 22.000000 7.107757
1976 8 21 234 6 56 47 -6.720000 129.570000 120.000000 6.340921
1976 8 21 234 21 49 54 32.570000 104.250000 33.000000 6.267953
1976 8 23 236 3 30 7 32.490000 104.180000 33.000000 6.378505
1976 9 15 259 3 15 19 46.300000 13.200000 10.000000 5.974857
1976 9 22 266 0 16 8 44.880000 149.230000 64.000000 5.954900
1976 9 29 273 21 2 32 6.920000 124.070000 41.000000 5.722952
1976 9 30 274 23 34 14 -30.240000 -177.880000 32.000000 6.606214
1976 10 5 279 18 2 15 -6.430000 153.000000 22.000000 6.339484
1976 10 12 286 0 40 52 -10.450000 161.290000 106.000000 5.952443
1976 10 29 303 2 51 7 -4.520000 139.920000 33.000000 6.819522
1976 11 2 307 7 13 15 -29.350000 77.660000 33.000000 6.568289
1976 11 6 311 18 4 8 27.600000 101.050000 33.000000 6.310734
1976 11 7 312 4 0 51 33.800000 59.150000 13.000000 5.962413
1976 11 7 312 17 9 6 8.480000 126.380000 60.000000 6.808331
1976 11 8 313 8 19 27 38.090000 142.240000 38.000000 6.230606
1976 11 15 320 13 53 0 39.440000 117.690000 15.000000 6.360322
1976 11 16 321 18 20 50 -41.640000 80.210000 33.000000 6.179075
1976 11 18 323 3 24 0 -8.820000 156.940000 33.000000 6.416221
1976 11 18 323 5 43 41 -4.170000 135.140000 33.000000 6.477270
1976 11 22 327 4 22 25 7.030000 123.580000 60.000000 5.125459
1976 11 22 327 4 46 26 -38.520000 78.570000 33.000000 5.801050
1976 11 24 329 12 22 18 39.120000 44.030000 36.000000 7.016062
1976 11 25 330 14 6 35 -19.500000 -177.710000 442.000000 6.481710
1976 11 26 331 11 19 25 41.290000 -125.710000 15.000000 6.692359
1976 11 27 332 21 42 12 36.510000 71.040000 190.000000 5.892662
1976 11 30 335 0 40 57 -20.520000 -68.920000 82.000000 7.538747
1976 12 14 349 16 6 44 28.290000 130.700000 41.000000 6.379761
1976 12 20 355 20 33 7 48.800000 -129.290000 10.000000 6.656121
1977 1 1 1 11 33 41 30.660000 137.060000 476.000000 5.354737
1977 1 1 1 17 35 54 -7.890000 109.010000 113.000000 5.861745
1977 1 1 1 19 1 39 -2.530000 126.580000 33.000000 6.324709
1977 1 1 1 21 39 41 38.150000 91.010000 27.000000 6.040224
1977 1 1 1 23 24 16 -56.150000 -142.930000 33.000000 5.675684
1977 1 2 2 9 55 28 -10.170000 118.990000 19.000000 6.261426
1977 1 5 5 5 44 39 27.460000 56.200000 29.000000 5.080669
1977 1 5 5 13 29 48 -20.810000 -178.310000 575.000000 5.682032
1977 1 6 6 6 11 40 -3.630000 144.450000 33.000000 6.756966
1977 1 6 6 16 2 7 51.480000 -175.480000 38.000000 5.784392
1977 1 6 6 18 33 43 -2.510000 28.700000 21.000000 5.060494
1977 1 7 7 14 38 22 -31.280000 -13.240000 33.000000 5.428697
1977 1 7 7 19 36 46 21.170000 120.280000 33.000000 5.662554
1977 1 8 8 6 41 4 15.320000 121.910000 36.000000 5.211127
1977 1 8 8 7 40 41 -11.270000 166.110000 42.000000 5.969479
1977 1 8 8 12 24 45 -5.600000 150.960000 61.000000 5.672817
1977 1 10 10 9 31 49 -20.720000 -179.250000 653.000000 5.364091
1977 1 11 11 7 2 34 -31.680000 -71.440000 35.000000 5.231669
1977 1 12 12 23 35 19 1.580000 99.860000 178.000000 5.897343
1977 1 14 14 17 58 35 -19.800000 -177.540000 350.000000 5.490276
1977 1 15 15 10 49 5 12.960000 125.960000 33.000000 5.524678
1977 1 17 17 6 23 36 26.680000 142.580000 33.000000 5.827971
1977 1 17 17 19 4 37 -14.870000 -177.230000 36.000000 5.888247
1977 1 17 17 21 27 12 -24.850000 -68.670000 33.000000 6.850712
1977 1 18 18 5 41 49 -41.730000 174.250000 50.000000 6.059794
1977 1 19 19 0 46 18 37.020000 95.700000 33.000000 5.843559
1977 1 19 19 13 54 4 5.040000 126.550000 50.000000 6.196111
1977 1 20 20 20 51 14 8.390000 123.030000 37.000000 5.534133
1977 1 21 21 6 11 5 -18.010000 -178.380000 604.000000 6.010617
1977 1 23 23 1 38 23 -13.380000 166.510000 39.000000 5.882370
1977 1 25 25 2 37 41 -1.890000 134.360000 33.000000 5.698310
1977 1 25 25 8 15 13 -15.920000 168.230000 266.000000 5.542160
1977 1 25 25 10 31 4 -10.930000 164.660000 25.000000 5.821148
1977 1 27 27 13 59 45 -6.510000 152.780000 58.000000 5.754485
1977 1 29 29 0 52 52 -5.220000 151.810000 55.000000 5.653459
1977 1 29 29 13 56 6 -33.750000 56.330000 33.000000 5.430366
1977 1 31 31 14 26 14 40.040000 70.850000 20.000000 5.991857
1977 2 3 34 10 38 23 45.370000 150.440000 33.000000 5.084540
1977 2 3 34 21 31 48 42.970000 130.930000 506.000000 5.176492
1977 2 4 35 7 46 33 -24.690000 -63.360000 549.000000 6.656121
1977 2 5 36 3 29 18 -66.450000 -82.580000 33.000000 6.268874
1977 2 6 37 3 9 14 -21.820000 -175.260000 33.000000 5.833812
1977 2 10 41 7 55 56 -21.820000 169.940000 41.000000 5.775436
1977 2 10 41 22 41 6 -60.930000 -23.090000 33.000000 6.132977
1977 2 12 43 4 49 16 36.990000 71.280000 98.000000 5.134383
1977 2 13 44 13 6 51 -0.120000 125.060000 33.000000 5.908724
1977 2 16 47 10 40 20 0.500000 125.980000 33.000000 6.010393
1977 2 18 49 4 8 13 41.410000 142.040000 5.000000 5.965313
1977 2 18 49 20 51 29 33.070000 140.820000 42.000000 6.128534
1977 2 19 50 6 15 25 31.790000 78.420000 40.000000 5.055071
1977 2 19 50 7 53 23 -41.370000 80.640000 33.000000 5.989454
1977 2 19 50 22 34 4 53.570000 170.030000 33.000000 6.765359
1977 2 22 53 14 10 8 -45.610000 -75.290000 33.000000 5.449675
1977 2 24 55 8 51 16 -11.690000 -13.620000 33.000000 5.735980
1977 2 24 55 11 40 0 42.390000 142.510000 75.000000 5.576262
1977 2 25 56 0 59 38 -6.280000 147.560000 49.000000 5.719907
1977 2 25 56 1 18 52 -6.290000 147.530000 52.000000 6.124022
1977 2 27 58 18 34 8 18.650000 145.290000 579.000000 5.476420
1977 2 28 59 1 32 2 4.040000 -82.500000 33.000000 5.626017
1977 2 28 59 1 50 31 9.220000 126.120000 64.000000 5.530623
1977 2 28 59 8 43 55 14.880000 54.950000 33.000000 5.270578
1977 3 2 61 5 5 23 -16.370000 177.980000 33.000000 5.658799
1977 3 2 61 9 53 23 6.770000 123.740000 52.000000 6.361660
1977 3 4 63 19 21 54 45.770000 26.760000 94.000000 7.469235
1977 3 6 65 12 47 18 -8.300000 123.600000 39.000000 5.668463
1977 3 8 67 3 2 32 -17.840000 -178.710000 571.000000 5.573230
1977 3 8 67 8 7 19 -8.320000 156.230000 33.000000 5.851438
1977 3 8 67 13 8 56 -11.960000 -74.200000 41.000000 5.549970
1977 3 8 67 23 17 28 0.450000 100.020000 22.000000 6.114781
1977 3 9 68 14 27 53 41.610000 130.880000 528.000000 6.889835
1977 3 9 68 23 1 15 2.590000 127.170000 59.000000 5.535293
1977 3 12 71 2 57 50 23.740000 -45.170000 33.000000 5.833812
1977 3 13 72 21 14 32 -8.040000 -74.410000 161.000000 5.935506
1977 3 14 73 19 3 7 -20.730000 -178.510000 577.000000 5.725365
1977 3 14 73 20 52 38 -31.010000 179.940000 368.000000 5.284126
1977 3 15 74 8 54 58 -4.950000 131.010000 41.000000 6.160973
1977 3 15 74 19 55 42 -6.730000 154.960000 31.000000 5.991857
1977 3 17 76 12 42 30 -12.880000 169.380000 649.000000 5.208990
1977 3 18 77 21 43 52 16.770000 122.330000 37.000000 7.236585
1977 3 19 78 10 56 25 44.200000 148.200000 70.000000 5.658799
1977 3 19 78 19 35 8 16.810000 122.350000 39.000000 6.098692
1977 3 21 80 4 36 0 13.160000 145.310000 56.000000 5.373557
